,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dogs_period,retweet_count,favorite_count,user_count
0,667435689202614272,2015-11-19 20:14:03 ,Ermergerd 12/10 https://t.co/PQni2sjPsm,12.0,10,None,,79,286,8946190
1,667437278097252352,2015-11-19 20:20:22 ,Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10 https://t.co/97HuBrVuOx,10.0,10,None,,214,419,8946190
2,667443425659232256,2015-11-19 20:44:47 ,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,6.0,10,None,,532,723,8946190
3,667453023279554560,2015-11-19 21:22:56 ,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11.0,10,Cupcake,,80,292,8946190
4,667455448082227200,2015-11-19 21:32:34 ,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7.0,10,Reese,,56,178,8946190
5,667470559035432960,2015-11-19 22:32:36 ,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11.0,10,a,,89,234,8946190
6,667491009379606528,2015-11-19 23:53:52 ,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7.0,10,None,,206,483,8946190
7,667495797102141441,2015-11-20 00:12:54 ,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9.0,10,Philippe,,244,486,8946190
8,667502640335572993,2015-11-20 00:40:05 ,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10,Hall,,200,505,8946190
9,667509364010450944,2015-11-20 01:06:48 ,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,12.0,10,None,,1962,6331,8946190
10,667517642048163840,2015-11-20 01:39:42 ,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10,Dook,,177,344,8946190
11,667524857454854144,2015-11-20 02:08:22 ,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10,None,,1034,1578,8946190
12,667530908589760512,2015-11-20 02:32:25 ,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10.0,10,Naphaniel,,219,432,8946190
13,667405339315146752,2015-11-19 18:13:27 ,This is Biden. Biden just tripped... 7/10 https://t.co/3Fm9PwLju1,7.0,10,Biden,,206,432,8946190
14,667534815156183040,2015-11-20 02:47:56 ,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10,Frank,,483,759,8946190
15,667544320556335104,2015-11-20 03:25:43 ,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10.0,10,Kial,,487,800,8946190
16,667546741521195010,2015-11-20 03:35:20 ,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9.0,10,George,,115,315,8946190
17,667549055577362432,2015-11-20 03:44:31 ,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,1.0,10,None,,2070,5353,8946190
18,667724302356258817,2015-11-20 15:20:54 ,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,7.0,10,None,,291,445,8946190
